wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,26.718,22.441,18.081,13,150.79,138.48,114.93
410.0,25.69,21.155,16.602,13,151.36,138.78,113.76
420.0,24.854,20.096,15.505,13,152.26,139.16,112.6
430.0,24.142,19.229,14.53,13,152.64,139.53,111.53
440.0,23.577,18.452,13.723,13,153.26,139.86,110.17
450.0,22.954,17.814,13.008,13,153.64,140.04,109.42
460.0,22.474,17.204,12.44,13,153.95,140.32,108.32
470.0,22.033,16.651,11.795,13,154.43,140.53,107.15
480.0,21.619,16.173,11.368,13,154.79,140.97,106.24
490.0,21.251,15.733,10.823,13,155.28,141.07,105.25
500.0,20.938,15.335,10.463,13,155.69,141.24,104.01
510.0,20.617,14.956,10.094,13,156.01,141.58,103.05
520.0,20.342,14.612,9.7481,13,156.37,141.77,102.05
530.0,20.078,14.265,9.4235,13,156.69,142.14,101.11
540.0,19.831,13.967,9.1446,13,157.05,142.3,100.16
550.0,19.6,13.698,8.86,13,157.38,142.56,99.126
560.0,19.387,13.412,8.6154,13,157.69,142.72,98.206
570.0,19.188,13.164,8.3841,13,157.93,143.14,97.309
580.0,18.984,12.927,8.1732,13,158.31,143.41,96.375
590.0,18.835,12.715,7.961,13,158.58,143.59,95.594
600.0,18.657,12.538,7.7631,13,158.88,143.9,94.701
610.0,18.514,12.333,7.5951,13,159.25,144.09,93.704
620.0,18.38,12.144,7.4192,13,159.34,144.38,92.923
630.0,18.236,12.001,7.2486,13,159.75,144.66,91.924
640.0,18.109,11.812,7.1007,13,159.98,144.86,91.32
650.0,17.981,11.67,6.9527,13,160.2,145.17,90.579
660.0,17.873,11.505,6.8176,13,160.43,145.34,89.765
670.0,17.763,11.374,6.6982,13,160.77,145.46,88.985
680.0,17.652,11.246,6.5701,13,160.83,146.0,88.188
690.0,17.559,11.107,6.4455,13,161.18,146.16,87.351
700.0,17.45,10.991,6.3416,13,161.55,146.48,86.609
710.0,17.349,10.856,6.2401,13,161.5,146.64,85.912
720.0,17.263,10.773,6.13,13,161.87,146.87,85.408
730.0,17.187,10.644,6.0279,13,162.01,147.05,84.461
740.0,17.118,10.554,5.9547,13,162.18,147.56,83.659
750.0,17.037,10.455,5.846,13,162.62,147.35,83.088
760.0,16.959,10.356,5.7373,13,162.8,147.93,82.5
770.0,16.907,10.255,5.6669,13,162.82,148.31,81.702
780.0,16.844,10.197,5.601,13,162.94,148.22,80.939
790.0,16.763,10.086,5.5289,13,163.2,148.66,80.345
800.0,16.7,10.035,5.4526,13,163.53,148.7,79.505
810.0,16.629,9.9143,5.3939,13,163.51,149.04,79.044
820.0,16.569,9.834,5.2987,13,163.71,149.28,78.473
830.0,16.53,9.7751,5.2604,13,163.96,149.52,77.762
840.0,16.473,9.7034,5.1911,13,164.21,149.74,77.173
850.0,16.41,9.6485,5.1256,13,164.35,150.03,76.352
860.0,16.358,9.5642,5.1087,13,164.67,150.31,76.055
870.0,16.324,9.4931,4.9944,13,164.67,150.18,75.4
880.0,16.281,9.4481,4.9649,13,164.83,150.59,74.693
890.0,16.236,9.3811,4.9085,13,165.04,150.85,74.092
900.0,16.193,9.3306,4.8696,13,165.1,150.91,73.471
910.0,16.156,9.2656,4.8175,13,165.24,151.28,72.891
920.0,16.114,9.2143,4.7685,13,165.42,151.4,72.396
930.0,16.073,9.1608,4.7368,13,165.66,151.55,71.728
940.0,16.029,9.1118,4.6991,13,165.7,151.71,71.368
950.0,16.001,9.0588,4.67,13,165.51,152.06,70.682
960.0,15.973,9.0107,4.5971,13,166.18,152.11,70.221
970.0,15.94,8.9503,4.5655,13,165.99,152.39,69.432
980.0,15.897,8.9135,4.5339,13,166.31,152.55,68.852
990.0,15.855,8.8709,4.4999,13,166.27,152.81,68.511
1000.0,15.822,8.8461,4.4487,13,166.21,152.67,67.994
